,movie_name
175,The Musketeers of Pig Alley
176,The Raven
177,The New York Hat
178,The Battle at Elderbush Gulch
179,Judith of Bethulia
180,The Clansman
181,Intolerance
182,Hearts of the World
183,The Greatest Question
184,Broken Blossoms
185,True Heart Susie
186,Way Down East
187,One Exciting Night
188,Orphans of the Storm
189,America
190,Isn't life Wonderful
191,Screen Snapshots
192,Abraham Lincoln
193,Romeo and Juliet
202,Le Binetoscope
204,"Marin Valiero, Doge of Venice"
206,The Pilgrim's Progress
208,Macbeth
209,Love Everlasting
210,Gertie the Dino
212,All on Account of Milk
214,The Merchant of Venice
216,Life of Moses
218,The Old Curiosity Shop
221,Young Woodley
222,Hobson's Choice
223,Those Were the Days
225,Lucky to Me
226,Salome
228,Francesca di Rimini
229,Dante's Inferno
231,Homer's Odyssey
232,The Vampire Dancer
234,L'Enfant de Paris
236,Clios and Phyletes
238,Little Dove's Romance
240,Battle of the Red Men
241,Custer's Last Fight
242,The Death Mask
243,Civilization
244,Human Wreckage
246,The Aviator's Generosity
248,A Tale of Two Cities
250,Maiden and Men
252,Their Hero Son
253,Robin Hood
254,The Iron Mask
255,Manhandled
256,Heidi
257,Rebecca of Sunnybrook Farm
258,Suez
259,The Three Musketeers
260,Around the World
261,Sands of Iwo Jima
262,Cattle Queen of Montana
263,Passion
264,Tennessee's Partner
265,Pearl of the South Pacific
266,Slightly Scarlet
267,The Ghost Breaker
269,Baby Face
270,I Loved a Woman
271,Dangerous
272,The Gracie Allen Murder Case
273,The Jolson Story
274,The Eddie Cantor Story
275,Step On It
277,Bringing Up Father
278,Our Modern Maidens
279,The Unholy Three
280,Just a Gigolo
281,Ars\`ene Lupin
282,Red-headed Woman
283,Viva Villa
285,Libeled Lady
286,Sarasota
287,A Yank at Oxford
288,Too Hot To Handle
289,Lady of the Tropics
290,Boom Town
291,Love Crazy
292,Honky Tonk
293,Dragon Seed
294,The Hucksters
295,Comedy of the absurd
297,Alias Jimmy Valentine
299,The Pride of the Clan
300,Poor Little Rich Girl
301,Au nom de la loi
302,Queen Elizabeth
304,How Men Propose
306,Where are My Children
308,The Dumb Girl of Portici
309,"The Juvenile Dancer Supreme, Lena Basquette in a Group of Classical Dances"
310,The Dance of Love
311,Shoes
312,Nelson
314,The Elusive Pimpernel
315,The Hound of the Baskervilles
316,Balalava
317,The School for Scandal
318,The Lodger
319,The Tunnel
320,The Spider
321,Beware of Pity
322,My Wife's Lodger
323,Dough and Dynamite
325,Fatty and Mabel at the San Diego Exposition
326,Fatty and Mabel's Simple Life
327,Vampyren
329,Sir Arne's Treasure
330,Erotikon
331,The Saga of Gosta Berlin
332,The Blizzard
333,The Temptress
334,Hotel Imperial
335,Street of Sin
336,From the Manger to the Cross
338,Monsieur Beaucaire
339,Tradgardsmastaren
341,The Phantom Carriage
342,He Who gets Slapped
343,The Scarlet Letter
344,The Divine Woman
345,The Wind
346,Within the Law
352,Il Cadavere Vivente
354,Rhapsodia Satanica
355,"Fedora, or Piu Forte dell'Odio e Amore"
357,Blade O'Grass
359,California
361,The Squaw Man
362,The Virginian
363,Brewster's Millions
364,Rose of the Rancho
366,Call of the North
367,The Girl of the Golden West
368,The Wild Goose Chase
369,The Warrens of Virginia
370,The Arab
371,The Goose Girl
372,Carmen
373,Maria Rosa
374,The Captive
375,The Cheat
376,The Trail of the Lonesome Pine
377,"Joan, the Woman"
379,The Affairs of Anatol
380,Adam's Rib
381,The Ten Commandments
382,The King of Kings
383,Madame Satan
384,The Godless Girl
386,The Sign of the Cross
387,Cleopatra
388,The Crusades
389,The Plainsman
390,The Buccaneer
391,Union Pacific
393,Reap the Wild Wind
394,Unconquered
395,The Greatest Show on Earth
397,Anthony and Cleopatra
399,The Perils of Pauline
401,The Fatal Ring
402,Velvet Fingers
403,The Sky Ranger
404,The Vanishing American
405,The Woman in his Life
406,The Last of the Mohicans
407,A Family Affair
408,You're Only Young Once
409,Judge Hardy's Children
410,Love Finds Andy Hardy
411,Out West With the Hardys
412,6000 Enemies
413,The Hardys Ride High
414,Judge Hardy and Son
415,Andy Hardy Meets a Debutante
417,Sky Murder
418,Andy Hardy's Private Secretary
419,Life Begins for Andy Hardy
420,China Caravan
421,The Courtship of Andy Hardy
422,Andy Hardy's Double Life
423,Andy Hardy's Blonde Trouble
424,East Lynne
426,Raja Harishchandra
428,Ivanhoe
430,Neptune's Daughter
431,The Kreuzer Sonata
432,War Brides
433,The Passing of the Third Floor Back
434,The Sign on the Door
435,The Spanish Dancer
436,Peter Pan
437,Beau Geste
438,Beau Ideal
439,The White Goddess of the Wangora
441,The Heroes of Paratau
442,The Outlaw of the Sudu Mountains
443,Odd Man Out
444,Deutsche bin Sudan
445,Eine Weisse unter Kannibalen
446,Ein Abenteurer
447,Tropengift
448,Goldfieber
449,Im Kampf um die Diamantfelder
450,Geheimbundrieten der Frauen in Liberia
451,Mensch und Tier im Urwald
452,"Fahrten und F\""ahrten"
453,Verlorenes Land
454,Das Letzte Paradis
455,Die Wildnis Stribt
456,"Fauen, Masken, und Dam\""onen"
457,Abschied von Afrika
458,The Student of Prag
460,"R\""ubezahls Hochzeit"
461,"Der Rattenf\""anger von Hameln"
462,Der Golem
463,Tarzan the Ape Man
465,Romance of Tarzan
466,Return of Tarzan
467,Son of Tarzan
468,Adventures of Tarzan
469,Tarzan and the Golden Lion
470,Tarzan the Mighty
471,The Memory of the Other
473,The Duped Journalist
475,The Man with the Golden Touch
476,The Prince and the Pauper
477,The Private Life of Helen of Troy
478,Her Private Life
479,The Princess and the Plumber
480,Marius
481,The Private Life of Henry VIII
482,The Girl from Maxim's
483,The Private Life of Don Juan
484,Rembrandt
485,That Hamilton Woman
486,Making A Living
488,The Tramp
489,Shangheid
490,A Night at the Show
491,The Immigrant
492,The Adventurer
493,A Dog's Life
494,Shoulder Arms
495,The Kid
497,The Gold Rush
498,The Circus
499,City Lights
500,Modern Times
501,The Great Dictator
503,Monsieur Verdoux
504,Limelight
505,A King in New York
506,A Countess from HongKong
507,La donna nuda
509,Malombra
510,Maman poupee
511,Fabiola
512,Mesalina
513,Quo Vadis
515,Pawns of Passion
516,Madame Butterfly
517,Manon Lescaut
518,La Traviata
519,Faust and the Devil
520,La Forza del Destino
521,Tosca
522,Michel Strogoff
523,Cathage in Flames
524,Carmen di Travestere
525,The Spoilers
527,Der Stolz der Firma
529,In The Land of the War Canoes
531,Schuhpalast Pinkus
533,Wenn Vier Dasselbe Tun
534,"Ein Fideles Gef\""angnis"
535,Die Augen der Mumie Ma
536,Gipsy Blood
537,Meyer in Berlin
538,Die Austernprinzessin
539,Madame Dubarry
540,Die Puppe
541,Romeo und Julia im Schnee
542,"Kohliesel's T\""ochter"
543,"Ich M\""ochte Kein Mann Sein"
544,Sumurun
545,Anna Boleyn
546,Die Bergkatze
547,Das Weib des Pharao
548,Die Flamme
549,Rosita
550,The Marriage Circle
551,Forbidden Paradise
552,Lady Windermere's Fan
553,The Student Prince
554,The Patriot
555,The Love Parade
556,Paramount on Parade
557,Monte Carlo
558,The Smiling Luitenant
559,The Man I Killed
560,One Hour With You
561,Trouble in Paradise
562,If I had a Million
563,Design For Living
564,The Merry Widow
565,Angel
566,Bluebeard's Eighth Wife
567,Ninotchka
568,The Shop around the Corner
569,To Be or Not To Be
570,Heaven Can Wait
571,Cluny Brown
572,Cabiria
574,Il Fuoco
575,Tigre Reale
576,Hedda Gabler
577,The Italian
579,The Typhoon
580,Bluebeard's Seven Wives
582,The Sea Wolf
583,Body and Soul
584,Daddy Long Legs
586,People Will Talk
587,Winterset
588,Our Leading Citizen
589,Betond the Blue Horizon
590,Jack London
591,The Hairy Ape
592,The Final Judgement
594,The trail to Yesterday
595,Rio Grande
596,San of the Sahara
597,Resurrection
598,Ramona
599,Evangeline
601,New Moon
603,Are We Civilized?
604,Les Soeurs Ennemies
606,Geo le Mysterieux
607,Venus Victrix
608,La Fete Espanole
609,La Belle Dame Sans Merci
610,La Souriante Madame Beudet
611,La Coquille et le Clergyman
612,Tennessee's Pardner
614,Gentleman of Leisure
615,Pettigrew's Girl
616,The Sheik
617,Dracula
618,The Light That Failed
619,Assunta Spina
621,The Woman of the Camelias
622,The Little Red Schoolhouse
624,The Phantom Express
625,Alexander Hamilton
626,The Man Who Played God
627,Voltaire
628,Joyous Troublemakers
630,Nero
631,Queen of Sheba
632,It's the Law
633,Asphalt
635,Music in the Air
636,The House of Seven Gables
637,Johnny Doen't Live Here Any More
638,The Corporal's Daughter
640,Les Vampires
642,Fantomas
643,Judex
644,The Thief of Bagdad
646,What Price Glory
647,The Loves of Carmen
648,Sadie Thompson
649,The Man Who Came Back
650,The Big Trail
651,The Yellow Ticket
652,The Bowery
653,The Roaring Twenties
654,St.~Louis Blues
655,They Drive by Night
656,High Sierra
657,They Died With Their Boots On
658,The Strawberry Blonde
659,Manpower
660,Desperate Journey
661,Northern Pursuit
662,Objective Burma
663,The Man I Love
664,One Sunday Afternoon
665,White Heat
666,Colorado Territory
667,Distant Drums
668,Blackbeard the Pirate
669,Gun Fury
670,Sea Devils
671,Battle Cry
672,Band of Angels
673,The Naked and the Dead
674,A Distant Trumpet
675,Ceux de Chez Nous
677,La Voyante
678,Les Deaux Couverts
679,Bonne Chance
680,Le Roman d'un Tricheur
681,The Pearls of the Crown
682,Les Perles de la couronne
683,Quadrille
684,Champes-Elyse\'es
685,Ils Etaient Neuf Celibataires
686,Le Destin Fabuleux de Desiree Clary
687,Donne-moi Tes Yeux
688,La Diable Boiteux
689,Le Comedien
690,La Poison
691,Debureau
692,Versailles
693,Napoleon
694,Si Paris m'etait cont\'e
695,Les Trois Font la Paire
696,Le Vie a Dieux
697,Assassins et Voleurs
698,Going to the San Francisco World's Fair
700,Tom Sawyer
701,Johanna Enlists
702,Huck and Tom
703,Anne of Green Gables
704,Huckleberry Finn
705,Two Orphans
707,The Clemenceau Case
708,The Stain
709,Lady Audley's Secret
710,The Vixen
711,A Fool There Was
712,Sin
713,The Light
714,Destruction
715,Gold and the Woman
716,The Serpent
717,Eternal Sappho
718,Her Double Life
720,Madame Du Barry
721,Under Two Flags
722,Camille
723,Heart and Soul
724,The Tiger Woman
726,When A Woman Sins
727,The Forbidden Path
728,The She Devil
729,Rose of the Blood
730,Kathleen Mavourneen
731,La Belle Russe
732,When Men Desire
733,The Siren's Song
734,A Woman There Was
735,The Price of Silence
736,Her Greatest Love
737,The Unchastened Woman
738,Madame Mystery
739,The Dancer of Paris
740,Perfido Incanto
742,Thais
743,J'accuse
746,La Fin du Monde
749,Magirama
750,Austerlitz
751,Who Pays?
753,Tol'able David
754,The White Sister
755,Stella Dallas
756,Whoopie
757,State Fair
759,Lloyd's of London
761,In Old Chicago
762,Alexander's Ragtime Band
763,Stanley and Livingstone
764,Maryland
765,Chad Hanna
766,A Yank in the RAF
767,The Black Swan
768,The Song of Bernadette
769,Wilson
770,Margie
771,Captain from Castile
772,Twelve OClock High
773,The Gunfighter
774,David and Bathsheeba
775,The Snows of Kilimandjaro
776,Love is a many Splendored Thing
777,Untamed
778,The Sun also Rises
779,Tender is the Night
780,"T\^etes de Femmes, Femmes de T\^ete"
782,Un Conseil d'Ami
783,La Faute d'Orthographe
784,L'Atlantide
785,Les Noveuax Messieurs
786,The Kiss
787,Le Grand Jeu
788,La Kermesse Heroique
789,Knight Without Armor
790,La Lois du Nord
793,Dady Long-Legs
794,Tess of the D'Ubervilles
795,Sweethearts on Parade
796,Private Lives
798,The Guardsman
799,Reunion in Vienna
800,Dark Angel
801,The Good Earth
802,The Three Godfathers
804,The Ragamuffin
806,What Every Woman Knows
807,Nice People
808,Craig's Wife
809,Il processo Clemenceau
811,The House of Rothschild
813,The Adventures of Sherlock Holmes
814,One Week
816,Hard Luck
817,The Paleface
818,The Boat
819,The Blacksmith
820,The Haunted House
821,Neighbors
822,The Frozen North
823,My Wife's Relations
824,Day Dreams
825,Cops
826,The Love Nest
827,The Baloonatic
828,Our Hospitality
829,The Three Ages
830,The Navigator
831,Sherlock jr.
832,Go West
834,Estrallos
835,Battling Butler
836,College
837,Seven Chances
838,One-Run Elmer
839,Tars and Stripes
840,Grand Slam Opera
841,Cenere
843,The Only Way
846,Madame X
847,Oliver Twist
848,The Divine Lady
850,Passport to Hell
851,Cavalcade
852,Berkeley Square
853,Mutiny on the Bounty
855,Wells Fargo
856,Maid of Salem
857,If I were King
858,Blood on the Sun
859,The Goldwyn Follies
861,Destry Rides Again
862,The Ghost Breakers
863,Murder He Says
864,Incendiary Blonde
865,The Blue Dahlia
867,The Happy Barber
868,:The Perils of Pauline
869,Variety Girl
870,Fancy Pants
871,Houdini
872,Scared Stiff
873,Red Garters
874,Money From Home
875,Destry
876,The Gazebo
877,Papa's Delicate Condition
878,Marked Men
880,The Iron Horse
881,Men Without Women
882,Arrowsmith
883,The Lost Patrol
884,Judge Priest
885,The Whole Town's Talking
886,The Informer
887,Steamboat Round the Bend
888,The Prisoner of Shark Island
889,Wee Willie Winkie
890,The Hurricane
891,Stagecoach
892,Young Mr.~Lincoln
893,Drums Along the Mohawk
894,The Grapes of Wrath
895,The Long Voyage Home
896,Tobacco Road
897,How Green Was my Valley
898,December 7
899,My Darling Clementine
900,Fort Apache
902,She Wore a Yellow Ribbon
903,Wagon Master
904,The Quiet Man
905,Mogambo
906,The Sun Shines Bright
907,Mr.~Roberts
908,The Searchers
909,The Wings of Eagles
910,The Last Hurrah
911,The Man Who Shot Liberty Valance
912,:Donovan's Reef
913,Cheyenne Autumn
914,Seven Women
915,Little Miss Hoover
917,Dr.~Jekyll and Mr.~Hyde
918,Captain of the Guard
919,Our Little Girl
920,The Black Mantilla
922,A Dream of Egypt
923,A Romany Rose
924,Little Mariana's Triumph
925,Amelita's Friend
926,The Good Bad Girl
928,Sherlock Holmes and the Secret Weapon
929,Frankenstein Meets the Wolf Man
930,Sherlock Holmes in Washington
931,Sherlock Holmes Faces Death
932,Sherlock Holmes and the Spider Woman
933,The Scarlet Claw
934,The Pearl of Death
935,The Woman in Green
936,The House of Fear
937,Pursuit to Algiers
938,Black Angel
939,Terror by Night
940,Dressed to Kill
941,The Girl with the Hatbox
943,Rasputin and the Empress
944,Hollywood Party
945,The Painted Veil
946,Clive of India
948,Metropolitan
949,Theodora Goes Wild
950,The Garden of Allah
952,The Clodhopper
954,The Return of Peter Grimm
955,Forgotten Faces
956,Redskin
957,The Mikado
958,Rhythm on the River
959,Road to Singapore
960,Road to Zanzibar
961,The Fleet's In
962,So Big
964,The Bridge of San Luis Rey
965,The Mask of Fu Manchu
966,Blind Husbands
968,The Devil's Passkey
969,Foolish Wives
970,Greed
972,The Wedding March
973,Queen Kelly
974,Sex
976,The Mark of Zorro
978,Blood and Sand
979,Ben Hur
981,The Mysterious Lady
982,Husbands and Lovers
984,Back Street
985,Imitation of Life
986,The Magnificent Obsession
987,Parnell
988,When Tomorrow Comes
989,Holy Matrimony
990,The Keys of the Kingdom
991,Leave Her to Heaven
992,Oh You Beautiful Doll
993,Song of Songs
995,The Turn in the Road
997,The Big Parade
998,La Boheme
999,The Patsy
1000,The Crowd
1001,Show People
1002,Hallelujah
1003,Billy the Kid
1004,Street Scene
1005,The Champ
1006,Bird of Paradise
1007,Our Daily Bread
1008,The Wdding Night
1010,The Citadel
1011,Northwest Passage
1012,My Son My Son
1013,An American Romance
1014,Cover Girl
1015,Together Again
1016,Duel in the Sun
1017,The Fountainhead
1018,Beyond the Forest
1019,Ruby Gentry
1020,The Man Without a Star
1021,Love Me Or Leave Me
1022,War and Peace
1023,The Virgin of Stamboul
1026,The Big City
1027,London After Midnight
1028,West of Zanzibar
1032,Freaks
1033,The Mark of the Vampire
1034,The Devil Doll
1035,Boy Crazy
1037,Girl Crazy
1038,Sons of the Desert
1039,The Richest Girl in The World
1040,If Only You Could Cook
1041,Roberta
1042,The Moon's Our Home
1043,This Is My Affair
1044,Room Service
1045,Three Blind Mice
1046,Broadway
1047,:A Lady Takes a Chance
1048,The Affairs of Susan
1049,Lover Come Back
1050,A Touch of Venus
1051,Spoilers of the West
1053,Wyoming
1054,White Shadows in the South Seas
1055,Trader Horn
1057,Forsaking All Others
1058,Manhattan Melodrama
1059,The Thin Man
1060,Naughty Marietta
1061,I Live My Life
1062,36
1063,Love on the Run
1064,Rose Marie
1065,After The Thin Man
1066,Marie Antoinette
1067,Sweethearts
1068,It's A Wonderful World
1069,Another Thin Man
1070,Andy Hardy Gets Spring Fever
1071,Bitter Sweet
1072,Rage in Heaven
1073,Shadow of the Thin Man
1074,I Married an Angel
1075,Cairo
1076,The Eyes of Youth
1078,:Blind Man's Bluff
1079,The Way of Terror
1081,Moon of Israel
1082,The Third Degree
1083,Mammy
1084,Doctor X
1085,Twenty-Thousand Years in Sing Sing
1086,The Mystery of the Wax Museum
1087,The Kennel Murder Case
1088,British Agent
1089,Black Fury
1090,Front Page Woman
1091,Captain Blood
1092,:Charge of the Light Brigade
1093,Kid Galahad
1094,The Adventures of Robin Hood
1095,Four Daughters
1096,Angels with Dirty Faces
1097,Daughters Courageous
1098,The Private Lives of Elizabeth and Essex
1099,Dodge City
1100,Four Wives
1101,The Sea Hawk
1102,The Santa Fe Trail
1103,Virginia City
1105,Yankee Doodle Dandy
1106,Casablanca
1107,This is The Army
1108,Passage to Marseilles
1109,Mildred Pierce
1110,Night and Day
1111,Life with Father
1112,Flamingo Road
1113,Young Man with a Horn
1114,The Breaking Point
1115,Force of Arms
1116,The Jazz Singer
1117,We're No Angels
1118,White Christmas
1119,The Vagabond King
1120,The Adventures of Huckleberry Finn
1121,The Golden Princess
1123,It
1124,Paris
1125,No No Nanette
1126,The Mystery of the Yellow Room
1128,Hara Kiri
1130,"Der M\""ude Tod"
1131,"Dr.~Mabuse, der Spieler"
1132,Sigfried
1133,Krimhild's Revenge
1134,Metropolis
1135,The Spy
1136,Die Frau im Mond
1137,M
1138,Das Testament des Dr.~Mabuse
1139,Liliom
1140,Fury
1141,You only Live Once
1142,Western Union
1143,Manhunt
1144,Hangmen Also Die
1145,The Woman in the Window
1146,Ministry of Fear
1147,Scarlet Street
1148,:Cloak and Dagger
1149,:Clash by Night
1150,The Big Heat
1151,Human Desire
1152,Moonfleet
1153,While the City Sleeps
1154,Beyond a Reasonable Doubt
1155,Der Tiger von Ischnapur
1156,Das Indische Grabmal
1157,Die Tausend Augen des Dr.~Mabuse
1158,Nosferatu
1160,Der Letzte Mann
1161,Faustus
1162,Sunrise
1163,City Girl
1164,Tabu
1165,College Coquette
1167,Thirteen Women
1168,The Penguin Pool Murder
1169,The Lost Squadron
1170,Some Like It Hot
1171,The Man from Home
1173,The Three Ghosts
1174,Bella Donna
1176,Son of The Sheik
1177,Lilac Time
1178,Mata Hari
1179,As You Desire Me
1180,Suzy
1181,The Kansan
1182,Main Street
1184,Beau Brummel
1185,Babbitt
1186,His Majesty Bunker Bean
1187,Our Dancing Daughters
1188,Broadway Melody
1189,"Dance, Fools, Dance"
1190,Laughing Sinners
1191,When Ladies Meet
1192,Murder in the Private Car
1193,Mrs.~Wiggs of the Cabbage Patch
1195,The Great Day
1196,The Call of Youth
1197,Poil de Carotte
1200,Maria Chapdelaine
1201,Le Golem
1202,La Belle Equipe
1203,P\'ep\'e le Moko
1204,Une Carnet de Bal
1205,The Great Waltz
1206,La Fin de Jour
1208,Lydia
1209,Tales of Manhattan
1210,Panique
1211,Anna Karenina
1212,Don Camillo
1213,La Fete a Henriette
1214,The Man in the Raincoat
1215,Pot-Boullie
1216,Around The World in 80 Days
1218,Die Dreigroschenoper
1219,Viktor und Viktoria
1220,Amphityron
1221,"Rich Man, Poor Girl"
1222,The Great Awakening
1223,Pagu
1225,Round the World in Eighty Days
1226,Victoria and Her Hussar
1227,"Der Hauptmann von K\""openick"
1228,I Was A Criminal
1229,Isle of Missing Men
1230,The Lovable Cheat
1231,Das Kabinett des Dr.~Caligari
1233,Genuine
1234,Raskolnikov
1235,The Hands of Orlac
1236,The Eagle
1238,The Goose Woman
1239,Flesh and the Devil
1240,A Woman of Affairs
1241,Anna Christie
1242,Romance
1243,Inspiration
1244,Possessed
1245,Night Flight
1246,Sadie McKee
1247,Chained
1249,Ah Wilderness
1250,The Gorgeous Hussy
1251,Wife vs Secretary
1252,Conquest
1253,Idiot's Delight
1254,The Rains Came
1255,Edison The Man
1256,Come Live With Me
1257,The Human Comedy
1258,The White Cliffs of Dover
1259,National Velvet
1260,The Yearling
1261,Intruder in the Dust
1262,Angels in the Outfield
1263,Leaves from Satan's Book
1265,Once Upon a Time
1266,The Passion of Joan of Arc
1267,Vampyr
1268,Vredens Dag
1269,Ordet
1270,Devotion
1272,My Reputation
1273,A Stolen Life
1276,Miss Sadie Thompson
1278,Kisses for My President
1279,Seventh Heaven
1281,Street Angel
1282,Lucky Star
1284,A Farewell to Arms
1285,A Man's Castle
1286,Desire
1287,Hearts Divided
1289,Mannequin
1290,Three Comrades
1291,Strange Cargo
1292,The Mortal Storm
1293,Moonrise
1294,The White Shadow
1296,The Prude's Fall
1298,The Rat
1299,The Sign of Four
1301,Three Men in a Boat
1302,Aren't Men Beasts
1303,Just William
1304,L'innamorata
1306,Peddlin' in Society
1307,Stronger than Death
1309,The Saphead
1310,Nell Gwynn
1312,Dawn
1313,The Little Demozel
1316,Victoria the Great
1317,Sixty Glorious Years
1318,Nurse Edith Cavell
1319,Sunny
1321,Irene
1322,Picadilly Incident
1323,Spring in Park Lane
1324,Odette
1325,Trent's Last Case
1326,Lilacs in the Spring
1327,The Man Who Wouldn't Talk
1328,The Third Eye
1330,The High Sign
1331,The Scarecrow
1332,The Goat
1333,American Manner
1335,Big Business
1336,Laughing Gravy
1337,Beau Hunks
1338,The Painted Desert
1339,Bonnie Scotland
1340,The Bohemian Girl
1341,Way Out West
1342,The Spider Returns
1343,Holt of the Secret Sevice
1344,Le Silence
1346,Fi\`evre
1347,Le Chemin d'Enroa
1348,Le Tonnerre
1349,La femme de nulle part
1350,L'innodation
1351,Narayana
1353,Nanook of the North
1355,Moana
1356,Man of Aran
1357,Elephant Boy
1358,Beyond the Rocks
1361,Paid
1362,The Barbarian
1363,Hold Your Man
1364,A Night at the Opera
1365,A Day at the Races
1367,Goodbye Mr.~Chips
1368,Our Town
1369,Kitty Foyle
1370,The Devil and Miss Jones
1371,King's Row
1372,For Whom the Bell Tolls
1373,Casanova Brown
1374,Saratoga Trunk
1375,Heartbeat
1376,Ivy
1377,Command Decision
1378,Stratton Story
1379,Ambush
1380,Lord Jim
1382,Mantrap
1383,The Way of All Flesh
1384,Wolf Song
1386,Around the World in Eighty Minutes
1387,The Wet Parade
1388,Red Dust
1389,Treasure Island
1391,Bombshell
1392,Reckless
1393,Captains Courageous
1394,Test Pilot
1395,The Wizard of Oz
1396,Gone with the Wind
1398,Tortilla Flat
1399,A Guy Named Joe
1400,Joan of Arc
1401,Animal Crackers
1403,Within Our Gates
1405,The Man Without Desire
1407,Blighty
1408,The Constant Nymph
1409,L'Uomo Meccanico
1411,The Cameraman
1413,Free and Easy
1414,"Parlor, Bedroom, and Bath"
1415,The Passionate Plumber
1416,Speak Easily
1417,Holiday
1419,The Animal Kingdom
1420,Next Time We Love
1421,Safari
1422,Young and Willing
1423,The Sky's the Limit
1426,Sphinx
1427,Charlie Chan in the Secret Service
1428,The Chinese Cat
1429,Charlie Chan in Black Magic
1430,The Jade Mask
1431,The Scarlet Clue
1432,The Red Dragon
1433,Murder at Monte Carlo
1435,No Exit
1436,The Man Who Made Diamonds
1439,The Four Horsemen of the Apocalypse
1441,Prisoner of Zenda
1442,Scaramouche
1443,Mare Nostrum
1445,Love in Morocco
1446,Dr.~Jack
1448,Grandma's Boy
1449,Why Worry
1450,Girl Shy
1451,Hot Water
1452,For Heaven's Sake
1453,My Best Girl
1454,The Woman Disputed
1455,The Taming of the Shrew
1456,Coquette
1457,The Cat's Paw
1458,Nothing But Trouble
1459,The Bedbug
1461,The Great Impersonation
1465,High Speed
1467,Ballet Mechanique
1468,Emperor Jones
1469,Doctor Jack
1471,Grand-Ma's Boy
1473,The Freshman
1474,Feet First
1475,Coeur Fidele
1477,The Three Paneled Mirror
1478,The Fall of the House of Usher
